                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.9893,                 1.9174,                 2.5369,                0.77215,                0.14706,                0.15435,                0.11122,                 4.2675,                 5.0538,                 3.9077,               0.001307,               0.001307,               0.001307
                     38,                 2.1862,                 1.8888,                  2.852,                0.47112,                0.17647,                0.19163,                0.09303,                 3.9302,                 6.5762,                 3.5297,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.3785,                 2.0031,                 2.8032,                0.22137,                0.29412,                0.19617,                0.08201,                 3.0019,                 7.3489,                 3.0772,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9542,                 1.7588,                 2.5825,                0.38716,                0.67647,                0.45401,                  0.177,                 2.7412,                 4.0887,                 2.9591,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.801,                 1.6961,                 2.5114,                0.38716,                0.67647,                0.45401,                  0.177,                 2.7412,                 4.0887,                 2.9591,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7483,                 1.6911,                 2.5407,                  0.804,                0.72413,                0.72342,                0.28178,                 2.4458,                  2.661,                 2.7288,               0.001208,               0.001208,               0.001208
                     43,                 2.0696,                 1.9425,                 2.8086,                0.76306,                0.66327,                0.70868,                0.25406,                 2.2491,                 2.9052,                 2.7533,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.4589,                 1.7338,                 3.0103,                0.48822,                0.61765,                0.52988,                0.19947,                 2.0347,                 2.7284,                 2.5676,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0705,                 1.8169,                 2.6799,                0.48822,                0.61765,                0.52988,                0.19947,                 2.0347,                 2.7284,                 2.5676,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7939,                 1.7681,                  2.522,                0.86081,                0.64706,                0.76215,                0.39306,                 2.4697,                 2.7127,                 2.6701,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.1729,                 1.7688,                 2.6747,                0.95382,                0.60776,                0.77319,                0.54458,                 1.5956,                 2.8198,                 2.3197,               0.001109,               0.001109,               0.001109
                     48,                 1.9771,                 1.8689,                 2.8986,                0.75629,                0.63909,                0.69482,                0.47192,                 1.4137,                 2.6849,                 2.2654,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9255,                 1.7385,                 2.7084,                0.75629,                0.63909,                0.69482,                0.47192,                 1.4137,                 2.6849,                 2.2654,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7768,                 1.5857,                 2.5747,                0.71538,                0.51776,                0.68433,                0.46683,                  1.406,                 2.8671,                 2.2515,              0.0010496,              0.0010496,              0.0010496
