                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72571,                  4.376,                 1.2457,                0.88144,                    0.9,                0.93747,                0.88218,                 0.2774,                 2.8008,                0.86582,                  0.091,                  0.001,                  0.001
                      1,                0.42637,                 1.0514,                0.99924,                0.99784,                      1,                  0.995,                0.95148,                0.28291,                0.57477,                0.84633,               0.081079,              0.0020792,              0.0020792
                      2,                0.42989,                0.48343,                0.98942,                0.99562,                      1,                  0.995,                0.94926,                0.34475,                 0.3994,                0.86793,               0.071137,              0.0031366,              0.0031366
                      3,                0.38686,                0.41425,                0.93326,                0.99748,                      1,                  0.995,                0.96155,                0.31549,                 0.2368,                0.85059,               0.061172,              0.0041723,              0.0041723
                      4,                0.40887,                0.40906,                0.95664,                 0.9963,                      1,                  0.995,                0.94131,                0.34142,                0.53519,                0.88399,               0.051186,              0.0051862,              0.0051862
                      5,                0.41067,                0.42506,                0.94008,                0.95409,                      1,                  0.995,                0.93448,                0.40956,                0.54191,                0.92621,               0.041178,              0.0061782,              0.0061782
                      6,                0.46073,                0.51529,                0.91859,                 0.9459,                      1,                0.99262,                0.89058,                0.57063,                0.49301,                 1.0848,               0.031149,              0.0071486,              0.0071486
                      7,                 0.4981,                0.47244,                0.96907,                0.99291,                      1,                  0.995,                0.88497,                0.54408,                0.71703,                0.99318,               0.021097,              0.0080971,              0.0080971
                      8,                0.57319,                0.57048,                0.99506,                0.97319,                      1,                  0.995,                0.91549,                0.50314,                0.69535,                0.99992,               0.011024,              0.0090238,              0.0090238
                      9,                0.44517,                0.55181,                0.95047,                  0.994,                      1,                  0.995,                0.82867,                0.61963,                0.52774,                 1.1263,               0.009109,               0.009109,               0.009109
                     10,                0.59232,                0.52454,                0.99992,                0.94121,                      1,                0.99024,                0.77859,                0.72914,                 1.0938,                 1.2898,               0.009109,               0.009109,               0.009109
                     11,                0.51916,                0.53272,                0.97554,                      1,                0.98992,                  0.995,                0.81642,                0.57072,                0.68617,                 1.0857,                0.00901,                0.00901,                0.00901
                     12,                0.57804,                0.46872,                0.97136,                0.99377,                      1,                  0.995,                0.86335,                0.57785,                0.43646,                0.99375,               0.008911,               0.008911,               0.008911
                     13,                0.52883,                0.42565,                0.97475,                 0.9878,                      1,                  0.995,                0.91222,                 0.4194,                 0.5967,                0.87993,               0.008812,               0.008812,               0.008812
                     14,                0.53185,                 0.4973,                0.98067,                0.99249,                      1,                  0.995,                0.88905,                0.46245,                0.47193,                0.94832,               0.008713,               0.008713,               0.008713
                     15,                0.46961,                0.42757,                0.95028,                0.97962,                      1,                  0.995,                0.90935,                0.44336,                0.46413,                0.94975,               0.008614,               0.008614,               0.008614
                     16,                0.52429,                0.40407,                 0.9743,                0.99724,                      1,                  0.995,                0.92269,                 0.4624,                0.43667,                0.93849,               0.008515,               0.008515,               0.008515
                     17,                0.52914,                 0.3925,                0.96367,                 0.9974,                      1,                  0.995,                0.95535,                0.42998,                0.40197,                0.89484,               0.008416,               0.008416,               0.008416
                     18,                0.52616,                0.42584,                0.96081,                0.99722,                      1,                  0.995,                0.94597,                0.37079,                0.32019,                0.88857,               0.008317,               0.008317,               0.008317
                     19,                0.53098,                0.42492,                 0.9527,                0.99659,                      1,                  0.995,                0.91397,                 0.4622,                0.36067,                0.93388,               0.008218,               0.008218,               0.008218
                     20,                0.53817,                0.38728,                0.98637,                0.99261,                      1,                  0.995,                0.93824,                 0.3932,                0.53666,                0.87433,               0.008119,               0.008119,               0.008119
