                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70154,                0.50398,                 1.1794,                0.99842,                      1,                  0.995,                0.91185,                0.40753,                0.30125,                0.92675,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.6979,                0.50686,                 1.1659,                0.99812,                      1,                  0.995,                0.91156,                0.39771,                0.34612,                 0.9338,               0.008218,               0.008218,               0.008218
                     38,                0.70148,                0.50426,                 1.1861,                0.97467,                      1,                  0.995,                0.90023,                   0.42,                0.29874,                0.94848,              0.0081685,              0.0081685,              0.0081685
                     39,                0.67351,                 0.4815,                 1.1719,                0.99857,                      1,                  0.995,                0.92922,                0.38104,                0.28402,                0.86366,               0.008119,               0.008119,               0.008119
                     40,                0.67821,                0.49091,                 1.1521,                0.97505,                      1,                  0.995,                0.89313,                0.38632,                0.29459,                0.88863,              0.0080695,              0.0080695,              0.0080695
                     41,                0.66523,                0.46913,                 1.1623,                0.99827,                      1,                  0.995,                0.93057,                0.38394,                0.27841,                0.87464,                0.00802,                0.00802,                0.00802
                     42,                0.65974,                0.47015,                 1.1496,                0.99799,                      1,                  0.995,                0.89527,                 0.4202,                0.30718,                0.91326,              0.0079705,              0.0079705,              0.0079705
                     43,                0.66164,                0.46953,                 1.1535,                0.99754,                      1,                  0.995,                0.91239,                0.40532,                0.31772,                0.92172,               0.007921,               0.007921,               0.007921
                     44,                0.65059,                0.45817,                 1.1213,                0.99761,                      1,                  0.995,                0.88065,                0.41012,                0.29249,                0.92345,              0.0078715,              0.0078715,              0.0078715
                     45,                0.66281,                0.46609,                 1.1537,                0.99856,                      1,                  0.995,                0.92449,                0.36387,                0.27266,                0.86099,               0.007822,               0.007822,               0.007822
                     46,                0.65464,                0.47672,                 1.1458,                0.99857,                      1,                  0.995,                0.93259,                0.36247,                0.28334,                0.84702,              0.0077725,              0.0077725,              0.0077725
                     47,                0.62411,                0.44334,                 1.1197,                0.99496,                      1,                  0.995,                0.91296,                0.36436,                0.26365,                0.85731,               0.007723,               0.007723,               0.007723
                     48,                0.62253,                0.44989,                 1.1253,                0.99832,                      1,                  0.995,                0.92562,                0.35573,                 0.2699,                0.84882,              0.0076735,              0.0076735,              0.0076735
                     49,                0.61848,                0.44279,                 1.1252,                0.99838,                      1,                  0.995,                0.93156,                0.35274,                0.28794,                0.84808,               0.007624,               0.007624,               0.007624
                     50,                0.63606,                0.45385,                 1.1219,                0.99752,                      1,                  0.995,                0.92484,                 0.3642,                0.26296,                0.84035,              0.0075745,              0.0075745,              0.0075745
